記録対戦数,記録段位,記録点数,和了率,放銃率,ツモ率,ダマ率,流局率,流局聴牌率,副露率,立直率,和了巡数,平均和了,平均放銃,平均順位,飛び率,立直和了,立直放銃A,立直放銃B,立直収支,立直収入,立直支出,先制率,追っかけ率,追っかけられ率,立直巡目,立直流局,一発率,振聴率,立直多面,立直良形,最高段位,最高点数,最大連荘,裏ドラ率,痛い親かぶり率,痛い親かぶり平均,放銃時立直率,放銃時副露率,副露後放銃率,副露後和了率,副露後流局率,打点効率,銃点損失,調整打点効率,局収支,総計局数,和了時立直率,和了時副露率,和了時ダマ率
575,豪1,2216/2800,0.2158,0.1393,0.32049999999999995,0.129,0.1041,0.4086,0.30219999999999997,0.171,12.464,6707,6012,2.477,0.0852,0.5521,0.1223,0.095,3737,8727,7664,0.7907,0.20929999999999999,0.2002,9.312,0.0971,0.207,0.0131,0.7685,0.5035000000000001,豪1,2216/2800,5,0.3443,0.1056,10859,0.1501,0.3387,0.1562,0.3095,0.1058,1447,838,609,-15,5784,0.4374842446709918,0.4334147358665431,0.129
136,傑2,678/1400,0.2242,0.1562,0.33,0.12119999999999999,0.0974,0.41090000000000004,0.3608,0.16449999999999998,12.511,6537,6205,2.596,0.1103,0.49079999999999996,0.1101,0.0688,2890,7926,6979,0.8853,0.11470000000000001,0.2706,9.727,0.1009,0.1963,0.0092,0.8393999999999999,0.43119999999999997,傑2,700/1400,3,0.3178,0.1093,10394,0.1159,0.4058,0.1757,0.3222,0.0732,1465,969,496,-139,1325,0.3601097234611953,0.5185091882247993,0.1212
257,傑2,700/1400,0.18420000000000003,0.1419,0.3271,0.1284,0.11779999999999999,0.34630000000000005,0.2216,0.1838,12.511,7489,5467,2.623,0.0895,0.5436,0.1411,0.1079,3601,8887,7474,0.888,0.11199999999999999,0.2697,9.338,0.1017,0.2328,0.014499999999999999,0.7261,0.4668,傑3,1000/2000,7,0.3321,0.0998,10749,0.18280000000000002,0.21239999999999998,0.136,0.2737,0.0964,1380,776,604,-92,2622,0.5424195439739411,0.329272095548317,0.1284
317,傑3,399/2000,0.2211,0.1514,0.3629,0.0703,0.10980000000000001,0.5666,0.3231,0.20620000000000002,12.260,6957,6049,2.508,0.0883,0.546,0.1131,0.083,3661,8344,6943,0.8039000000000001,0.1961,0.17800000000000002,9.675,0.1433,0.1989,0.013600000000000001,0.7888,0.5068,傑3,1651/2000,5,0.2983,0.0771,10989,0.154,0.3265,0.153,0.2878,0.11359999999999999,1538,916,622,11,3216,0.5092048846675713,0.4205706919945726,0.0703
566,豪1,935/2800,0.2437,0.17370000000000002,0.30469999999999997,0.10039999999999999,0.086,0.6412,0.39289999999999997,0.1861,12.405,6394,5921,2.511,0.0866,0.5114,0.139,0.1067,2736,7693,7474,0.8456999999999999,0.1543,0.21899999999999997,9.435,0.1105,0.1862,0.001,0.7637999999999999,0.5133,豪1,1744/2800,6,0.3222,0.0993,10534,0.149,0.4265,0.1885,0.3157,0.0825,1558,1028,530,-2,5642,0.39052745178498144,0.5089804267542059,0.10039999999999999
594,傑1,710/1200,0.20550000000000002,0.18969999999999998,0.3336,0.028399999999999998,0.0999,0.6377,0.4127,0.209,12.706,7591,5996,2.655,0.12789999999999999,0.5084000000000001,0.1381,0.0958,3307,8793,7354,0.759,0.24100000000000002,0.1971,9.805,0.1229,0.21660000000000001,0.0104,0.6678000000000001,0.39799999999999996,傑2,1351/1400,6,0.3265,0.0955,10695,0.1522,0.41159999999999997,0.1892,0.22640000000000002,0.11960000000000001,1560,1137,423,-149,5995,0.5170588807785889,0.4546728953771289,0.028399999999999998
195,傑3,926/2000,0.21530000000000002,0.1723,0.3251,0.1133,0.1177,0.5315,0.3505,0.19510000000000002,12.404,7226,6026,2.554,0.0821,0.5027,0.1168,0.0951,3255,8590,7858,0.8125,0.1875,0.2228,9.782,0.14400000000000002,0.1838,0.013600000000000001,0.7228,0.4511,傑3,1199/2000,4,0.3297,0.0873,10766,0.1323,0.3785,0.1861,0.2648,0.11800000000000001,1556,1038,517,-35,1886,0.4555353924756155,0.4310840687412912,0.1133
642,傑3,1779/2000,0.23329999999999998,0.1479,0.3166,0.0872,0.1017,0.49079999999999996,0.2785,0.2227,12.316,6738,5834,2.478,0.07629999999999999,0.5397,0.1223,0.08779999999999999,3405,8143,6851,0.7744,0.2256,0.2108,9.882,0.1131,0.22010000000000002,0.0091,0.7906,0.4736,豪1,2362/2800,5,0.32159999999999994,0.1128,10795,0.1841,0.2825,0.15,0.3331,0.0978,1572,863,709,77,6391,0.5151786969567081,0.3976354479211317,0.0872
358,傑3,1210/2000,0.2188,0.14,0.3354,0.1801,0.11720000000000001,0.3735,0.2705,0.16440000000000002,12.247,6473,5376,2.466,0.10060000000000001,0.5273,0.124,0.0926,3405,8189,6291,0.8412999999999999,0.15869999999999998,0.1934,9.461,0.12890000000000001,0.2382,0.0083,0.7521,0.5124,豪1,1473/2800,5,0.3668,0.0989,10668,0.1456,0.3417,0.1769,0.3427,0.0754,1416,753,664,16,3679,0.39619798903107867,0.42367618829981724,0.1801
396,傑1,947/1200,0.2132,0.18109999999999998,0.3258,0.043,0.1096,0.5128,0.2849,0.2157,12.374,7092,5877,2.609,0.1465,0.5035000000000001,0.1274,0.1038,3137,8318,7010,0.7583,0.24170000000000003,0.2193,9.796,0.1309,0.20370000000000002,0.0024,0.7064,0.42219999999999996,傑3,1095/2000,5,0.3396,0.1155,10920,0.1517,0.2711,0.1723,0.3348,0.0973,1512,1064,447,-159,3931,0.5094040806754222,0.4473945590994371,0.04299999999999999
165,傑2,705/1400,0.1913,0.1252,0.3553,0.0629,0.1185,0.3299,0.19010000000000002,0.2214,12.086,7206,5717,2.527,0.0788,0.5516,0.1332,0.1005,3264,7887,6763,0.7526999999999999,0.2473,0.212,10.016,0.0897,0.20199999999999999,0.019,0.7636,0.44020000000000004,傑3,1080/2000,3,0.32020000000000004,0.0863,10879,0.23559999999999998,0.23559999999999998,0.1551,0.3006,0.10439999999999999,1379,715,663,-122,1662,0.6383912179822269,0.29871437532671197,0.0629
371,傑3,416/2000,0.22,0.1464,0.3223,0.0775,0.1012,0.47859999999999997,0.3602,0.184,12.409,6396,5515,2.526,0.0755,0.5235,0.1294,0.09119999999999999,3200,8068,6723,0.7853,0.2147,0.19260000000000002,9.674,0.1162,0.1882,0.0015,0.6970999999999999,0.475,傑3,1557/2000,4,0.35109999999999997,0.10039999999999999,10865,0.16269999999999998,0.3641,0.14800000000000002,0.29600000000000004,0.0947,1407,807,600,-10,3695,0.43783636363636363,0.4846327272727273,0.0775
460,傑3,1084/2000,0.2079,0.13390000000000002,0.3226,0.1117,0.1161,0.46299999999999997,0.42119999999999996,0.1449,12.326,6375,5937,2.572,0.0848,0.5089,0.1231,0.092,3150,8270,7496,0.8338,0.16620000000000001,0.21660000000000001,9.201,0.1335,0.1808,0.019299999999999998,0.6365,0.3635,傑3,1387/2000,5,0.312,0.10220000000000001,11058,0.1332,0.44780000000000003,0.1424,0.2634,0.1251,1325,795,530,-75,4651,0.3546878787878788,0.5336415584415585,0.1117
184,豪1,1782/2800,0.2073,0.1252,0.3258,0.1253,0.1112,0.3411,0.33299999999999996,0.16519999999999999,11.865,6250,5298,2.424,0.0652,0.5094,0.1384,0.09119999999999999,2706,7549,6748,0.7956,0.20440000000000003,0.22329999999999997,9.648,0.10060000000000001,0.22219999999999998,0.022000000000000002,0.7106999999999999,0.36479999999999996,豪1,2786/2800,4,0.3457,0.07780000000000001,10249,0.1826,0.2614,0.0983,0.2917,0.1186,1295,663,632,-25,1925,0.4059473227206946,0.4685774240231549,0.1253
