記録対戦数,記録段位,記録点数,和了率,放銃率,ツモ率,ダマ率,流局率,流局聴牌率,副露率,立直率,和了巡数,平均和了,平均放銃,平均順位,飛び率,安定段位,点数期待,立直和了,立直放銃A,立直放銃B,立直収支,立直収入,立直支出,先制率,追っかけ率,追っかけられ率,立直巡目,立直流局,一発率,振聴率,立直多面,立直良形,最高段位,最高点数,最大連荘,裏ドラ率,痛い親かぶり率,痛い親かぶり平均,放銃時立直率,放銃時副露率,副露後放銃率,副露後和了率,副露後流局率,打点効率,銃点損失,調整打点効率,局収支,総計局数,和了時立直率,和了時副露率,和了時ダマ率
643,豪3,1326/3600,0.2217,0.1214,0.3759,0.2012999999999999,0.1348,0.4147,0.2561,0.175,12.237,6485.0,5603.0,2.442,0.0559999999999999,豪3.82,2.7 (852),0.522,0.1364,0.0966,3291.0,8311.0,6709.0,0.8288,0.1712,0.2017,9.521,0.1177999999999999,0.1834,0.0042,0.7983,0.5550999999999999,豪3,2919/3600,5.0,0.3101,0.1077999999999999,10371.0,0.1966,0.2784,0.132,0.3347,0.1436,1438.0,680.0,757.0,90.0,6744.0,0.41204330175913395,0.38663360396932794,0.2012999999999999
304,豪1,252/2800,0.2208999999999999,0.1506,0.3725,0.0784,0.1209,0.4765999999999999,0.4404,0.1552,12.131,6672.0,5733.0,2.546,0.1052999999999999,豪-0.64,-7.1 (36),0.4871,0.1502,0.1094,3005.0,8755.0,7797.0,0.8262,0.1737999999999999,0.1953,9.467,0.1588,0.2203,0.0021,0.7145999999999999,0.4421,豪2,2814/3200,5.0,0.37,0.1041,10374.0,0.1549,0.385,0.1316,0.2905,0.1142,1474.0,863.0,610.0,-54.0,3002.0,0.3422268899954732,0.5791588954277955,0.0784
1514,聖1,590/4000,0.2117,0.13,0.3656,0.1523,0.1308,0.4711,0.2781,0.1881,12.334,6639.0,5440.0,2.46,0.0753,豪2.82,-4.0 (149),0.5172,0.1413,0.1115,3175.0,8234.0,6920.0,0.7938,0.2062,0.2025,9.447,0.1309,0.1948,0.0113999999999999,0.7659999999999999,0.5146000000000001,聖2,5583/6000,6.0,0.3126,0.1067,10419.0,0.2044,0.2944,0.1376,0.2954,0.1619,1405.0,707.0,698.0,23.0,15883.0,0.45954331601322623,0.38805262163438836,0.1523
680,傑3,680/2000,0.2419,0.1654,0.3735,0.0936999999999999,0.1116,0.5952000000000001,0.3756,0.2153,12.235,6114.0,6073.0,2.59,0.1118,豪-1.51,2.1,0.4967,0.1222,0.0928,2787.0,7489.0,6821.0,0.8078,0.1921999999999999,0.1961,9.718,0.1516,0.2026,0.0033,0.7863,0.4889,豪2,2104/3200,5.0,0.3224,0.1108,10703.0,0.1591,0.3821,0.1682,0.299,0.1098,1479.0,1004.0,475.0,-131.0,7106.0,0.4420814799503927,0.46425961140967337,0.09369999999999988
1140,聖2,1010/6000,0.2125,0.1093,0.3695,0.1392,0.1448,0.3553,0.2998,0.1616,11.93,6253.0,5233.0,2.454,0.0553,豪3.45,-5.0 (202),0.528,0.1333,0.0923,3370.0,8115.0,6364.0,0.847,0.153,0.1976,9.081,0.139,0.2073,0.0052,0.7578,0.5347999999999999,聖2,4095/6000,6.0,0.3379,0.0971,10278.0,0.1971,0.319,0.1163,0.3257,0.1409,1329.0,572.0,757.0,50.0,11933.0,0.4015284705882353,0.45950522352941187,0.1392
770,豪2,1513/3200,0.2161,0.1335,0.3840999999999999,0.1414,0.1326,0.4465999999999999,0.3369,0.1732999999999999,12.259,6407.0,5524.0,2.488,0.0857,豪1.43,-2.1 (716),0.5051,0.1416,0.1113,2637.0,7395.0,7171.0,0.8244,0.1755999999999999,0.1805999999999999,9.378,0.1409,0.1989,0.0123,0.7759999999999999,0.5455,豪2,2620/3200,4.0,0.3375999999999999,0.0962,10474.0,0.1839,0.3602,0.1427,0.291,0.1375,1385.0,737.0,647.0,-3.0,7987.0,0.4050616844053677,0.4536691346598797,0.1414
6305,聖3,2750/9000,0.2075,0.1158,0.3636999999999999,0.1616,0.1437,0.3776,0.2671,0.1835,12.143,6561.0,5375.0,2.452,0.0672,豪3.44,-8.3 (331),0.488,0.1392,0.1045,3003.0,8263.0,6786.0,0.8317,0.1682999999999999,0.2053,9.742,0.1537,0.2075,0.0113,0.7426999999999999,0.5219,聖3,4905/9000,8.0,0.3206,0.0982,10504.0,0.2207,0.29,0.1257,0.3162,0.1445,1362.0,622.0,739.0,31.0,66414.0,0.4315566265060241,0.4070217831325302,0.16159999999999997
151,豪2,1370/3200,0.204,0.1261,0.3606,0.1515,0.1409,0.4474,0.288,0.1828999999999999,12.386,6821.0,5398.0,2.437,0.0596,豪2.71,2.5 (720),0.4595,0.1419,0.1047,2754.0,8405.0,6817.0,0.8277,0.1723,0.1823999999999999,9.667,0.1384999999999999,0.1985,0.0101,0.7365,0.4392,豪2,1600/3200,3.0,0.3162,0.1002,10976.0,0.2059,0.3137,0.1373,0.309,0.1631,1391.0,681.0,711.0,14.0,1618.0,0.41197328431372526,0.43623529411764705,0.1515
588,豪1,480/2800,0.2009,0.1273,0.3596,0.1124,0.1503999999999999,0.3525,0.3393,0.1741,12.294,6471.0,5288.0,2.592,0.0713999999999999,豪-0.65,-6.2 (77),0.4857,0.1435,0.1058,2922.0,8397.0,7199.0,0.8261,0.1739,0.207,9.615,0.1417,0.1894,0.0175,0.7315999999999999,0.4609,豪2,3093/3200,5.0,0.3125,0.1015,10217.0,0.1962,0.3697999999999999,0.1388,0.2762,0.1473,1300.0,673.0,626.0,-80.0,6243.0,0.4209077650572425,0.4664741662518666,0.11239999999999999
516,豪3,2120/3600,0.2133,0.1219,0.3638,0.1094999999999999,0.1408,0.3616,0.3839,0.1449,12.264,6489.0,5441.0,2.415,0.064,豪3.42,1.5 (1011),0.5254,0.1497,0.1155,3413.0,8703.0,7048.0,0.797,0.203,0.1929,9.356,0.1294,0.2053,0.0076,0.8109000000000001,0.5367999999999999,豪3,3029/3600,4.0,0.3382,0.0967,10413.0,0.178,0.3846,0.1221,0.2965,0.1413,1384.0,663.0,721.0,25.0,5439.0,0.35691729957805907,0.533644397562119,0.1094999999999999
1201,豪1,999/2800,0.1979,0.1478,0.3741,0.2173999999999999,0.1305,0.4825,0.345,0.1313,12.455,6981.0,5719.0,2.594,0.0891,豪-1.43,-10.3 (57),0.496,0.1422,0.1074,3235.0,8734.0,7102.0,0.8011,0.1989,0.1982999999999999,9.885,0.1495,0.1919,0.0043,0.7816,0.5088,豪2,2037/3200,4.0,0.3481,0.0978999999999999,10811.0,0.1263,0.355,0.1521,0.2601,0.1549,1381.0,845.0,536.0,-96.0,12482.0,0.3290793329964629,0.45343355229914106,0.21739999999999987
470,傑3,1000/2000,0.236,0.1546,0.351,0.0843,0.122,0.5748,0.2608,0.2483,12.416,6328.0,5733.0,2.545,0.083,豪-0.32,7.1,0.5078,0.1338,0.0958,2859.0,7678.0,7096.0,0.8142,0.1858,0.2122,9.279,0.1452999999999999,0.1724,0.0098999999999999,0.6945,0.431,豪2,2514/3200,5.0,0.374,0.1089,10489.0,0.2148999999999999,0.2639,0.1564,0.3450999999999999,0.1093,1494.0,886.0,607.0,4.0,4877.0,0.5342658474576272,0.3813647457627118,0.0843
